entry_time,exit_time,direction,size,entry_price,exit_price,reason,pnl,cash_after
2025-03-04T10:01:00+03:00,2025-03-04T12:27:00+03:00,Short,1,89.9200,90.5045,stop_loss,-0.5845,29996.21
2025-03-05T10:01:00+03:00,2025-03-05T10:05:00+03:00,Long,1,90.1400,90.3924,take_profit,0.2524,29996.47
2025-03-06T10:01:00+03:00,2025-03-06T12:19:00+03:00,Long,1,90.9800,90.3613,stop_loss,-0.6187,29995.85
2025-03-07T10:01:00+03:00,2025-03-07T12:08:00+03:00,Long,1,90.4500,89.8349,stop_loss,-0.6151,29995.23
2025-03-10T10:01:00+03:00,2025-03-10T10:24:00+03:00,Long,1,88.9600,89.2091,take_profit,0.2491,29995.48
2025-03-11T10:01:00+03:00,2025-03-11T10:09:00+03:00,Short,1,87.5500,87.3049,take_profit,0.2451,29995.73
2025-03-12T10:01:00+03:00,2025-03-12T10:39:00+03:00,Short,1,87.4500,88.0184,stop_loss,-0.5684,29995.16
2025-03-13T10:01:00+03:00,2025-03-13T11:20:00+03:00,Long,1,88.2100,87.6102,stop_loss,-0.5998,29994.56
2025-03-14T10:01:00+03:00,2025-03-14T10:12:00+03:00,Long,1,86.9000,87.1433,take_profit,0.2433,29994.80
2025-03-17T10:01:00+03:00,2025-03-17T11:19:00+03:00,Short,1,86.2100,85.9686,take_profit,0.2414,29995.04
2025-03-18T10:01:00+03:00,2025-03-18T10:17:00+03:00,Long,1,83.9300,83.3593,stop_loss,-0.5707,29994.47
2025-03-19T10:01:00+03:00,2025-03-19T10:16:00+03:00,Short,1,84.9000,85.4519,stop_loss,-0.5519,29993.92
2025-03-20T10:01:00+03:00,2025-03-20T11:39:00+03:00,Long,1,85.8300,86.0703,take_profit,0.2403,29994.16
2025-03-21T10:01:00+03:00,2025-03-21T11:53:00+03:00,Long,1,86.7900,86.1998,stop_loss,-0.5902,29993.57
2025-03-24T10:01:00+03:00,2025-03-24T10:03:00+03:00,Short,1,85.5200,85.2805,take_profit,0.2395,29993.81
2025-03-25T10:01:00+03:00,2025-03-25T10:14:00+03:00,Long,1,86.4600,85.8721,stop_loss,-0.5879,29993.22
2025-03-26T10:01:00+03:00,2025-03-26T16:25:00+03:00,Short,1,85.2300,84.9914,take_profit,0.2386,29993.46
2025-03-27T10:01:00+03:00,2025-03-27T11:44:00+03:00,Long,1,85.4200,85.6592,take_profit,0.2392,29993.70
2025-03-28T10:02:00+03:00,2025-03-28T13:30:00+03:00,Long,1,84.9500,85.1879,take_profit,0.2379,29993.94
2025-03-31T10:01:00+03:00,2025-03-31T10:17:00+03:00,Long,1,87.7200,87.9656,take_profit,0.2456,29994.18
2025-04-01T10:01:00+03:00,2025-04-01T10:12:00+03:00,Long,1,87.0300,86.4382,stop_loss,-0.5918,29993.59
2025-04-02T10:01:00+03:00,2025-04-02T10:15:00+03:00,Long,1,85.9700,86.2107,take_profit,0.2407,29993.83
2025-04-03T10:01:00+03:00,2025-04-03T10:07:00+03:00,Long,1,85.9800,86.2207,take_profit,0.2407,29994.07
2025-04-04T10:01:00+03:00,2025-04-04T10:13:00+03:00,Short,1,86.1100,85.8689,take_profit,0.2411,29994.31
2025-04-07T10:01:00+03:00,2025-04-07T10:19:00+03:00,Long,1,88.9100,88.3054,stop_loss,-0.6046,29993.71
2025-04-08T10:01:00+03:00,2025-04-08T12:09:00+03:00,Short,1,87.8000,88.3707,stop_loss,-0.5707,29993.14
2025-04-09T10:01:00+03:00,2025-04-09T10:54:00+03:00,Short,1,89.0600,88.8106,take_profit,0.2494,29993.39
2025-04-10T10:01:00+03:00,2025-04-10T10:05:00+03:00,Long,1,87.1800,87.4241,take_profit,0.2441,29993.63
2025-04-11T10:01:00+03:00,2025-04-11T10:03:00+03:00,Short,1,86.5700,86.3276,take_profit,0.2424,29993.87
2025-04-14T10:01:00+03:00,2025-04-14T11:21:00+03:00,Short,1,84.9300,84.6922,take_profit,0.2378,29994.11
2025-04-15T10:01:00+03:00,2025-04-15T11:05:00+03:00,Short,1,84.6800,84.4429,take_profit,0.2371,29994.35
2025-04-16T10:01:00+03:00,2025-04-16T10:31:00+03:00,Long,1,84.4900,83.9155,stop_loss,-0.5745,29993.77
2025-04-17T10:01:00+03:00,2025-04-17T10:03:00+03:00,Short,1,84.5300,84.2933,take_profit,0.2367,29994.01
2025-04-18T10:01:00+03:00,2025-04-18T11:07:00+03:00,Long,1,82.5500,81.9887,stop_loss,-0.5613,29993.45
2025-04-21T10:01:00+03:00,2025-04-21T10:04:00+03:00,Short,1,81.8300,81.6009,take_profit,0.2291,29993.68
2025-04-22T10:01:00+03:00,2025-04-22T10:11:00+03:00,Long,1,82.4800,81.9191,stop_loss,-0.5609,29993.12
2025-04-23T10:01:00+03:00,2025-04-23T10:03:00+03:00,Long,1,82.4400,82.6708,take_profit,0.2308,29993.35
2025-04-24T10:01:00+03:00,2025-04-24T10:25:00+03:00,Short,1,83.8700,83.6352,take_profit,0.2348,29993.58
2025-04-25T10:01:00+03:00,2025-04-25T12:36:00+03:00,Short,1,83.3300,83.0967,take_profit,0.2333,29993.82
2025-04-28T10:01:00+03:00,2025-04-28T10:21:00+03:00,Long,1,83.6300,83.0613,stop_loss,-0.5687,29993.25
2025-04-30T10:01:00+03:00,2025-04-30T10:45:00+03:00,Short,1,82.2700,82.0396,take_profit,0.2304,29993.48
2025-05-02T10:01:00+03:00,2025-05-02T10:15:00+03:00,Long,1,82.3500,82.5806,take_profit,0.2306,29993.71
2025-05-05T10:01:00+03:00,2025-05-05T10:11:00+03:00,Long,1,83.4300,82.8627,stop_loss,-0.5673,29993.14
2025-05-06T10:01:00+03:00,2025-05-06T12:03:00+03:00,Short,1,81.7900,82.3216,stop_loss,-0.5316,29992.61
2025-05-07T10:01:00+03:00,2025-05-07T11:43:00+03:00,Long,1,81.8900,81.3331,stop_loss,-0.5569,29992.05
2025-05-08T10:01:00+03:00,2025-05-08T10:28:00+03:00,Long,1,82.6200,82.8513,take_profit,0.2313,29992.28
2025-05-12T10:01:00+03:00,2025-05-12T12:27:00+03:00,Short,1,81.5200,81.2917,take_profit,0.2283,29992.51
2025-05-13T10:01:00+03:00,2025-05-13T10:30:00+03:00,Long,1,81.1700,81.3973,take_profit,0.2273,29992.74
2025-05-14T10:01:00+03:00,2025-05-14T10:21:00+03:00,Long,1,80.9000,81.1265,take_profit,0.2265,29992.97
2025-05-15T10:01:00+03:00,2025-05-15T11:14:00+03:00,Short,1,81.0000,80.7732,take_profit,0.2268,29993.19
2025-05-16T10:01:00+03:00,2025-05-16T15:50:00+03:00,Short,1,80.6400,81.1642,stop_loss,-0.5242,29992.67
2025-05-19T10:01:00+03:00,2025-05-19T12:02:00+03:00,Short,1,80.8500,80.6236,take_profit,0.2264,29992.90
2025-05-20T10:01:00+03:00,2025-05-20T11:00:00+03:00,Short,1,80.7000,81.2246,stop_loss,-0.5246,29992.37
2025-05-21T10:01:00+03:00,2025-05-21T10:10:00+03:00,Short,1,80.9200,80.6934,take_profit,0.2266,29992.60
2025-05-22T10:02:00+03:00,2025-05-22T14:12:00+03:00,Short,1,79.6800,79.4569,take_profit,0.2231,29992.82
2025-05-23T10:01:00+03:00,2025-05-23T13:45:00+03:00,Short,1,79.7100,80.2281,stop_loss,-0.5181,29992.30
2025-05-26T10:01:00+03:00,2025-05-26T10:17:00+03:00,Long,1,79.7200,79.9432,take_profit,0.2232,29992.53
2025-05-28T10:01:00+03:00,2025-05-28T15:02:00+03:00,Short,1,79.8400,79.6164,take_profit,0.2236,29992.75
2025-05-29T10:01:00+03:00,2025-05-29T10:24:00+03:00,Short,1,79.1000,78.8785,take_profit,0.2215,29992.97
2025-05-30T10:01:00+03:00,2025-05-30T16:54:00+03:00,Long,1,78.8800,79.1009,take_profit,0.2209,29993.19
2025-06-02T10:01:00+03:00,2025-06-02T13:15:00+03:00,Long,1,79.4200,79.6424,take_profit,0.2224,29993.41
2025-06-03T10:01:00+03:00,2025-06-03T11:01:00+03:00,Short,1,79.2100,78.9882,take_profit,0.2218,29993.64
2025-06-04T10:01:00+03:00,2025-06-04T11:25:00+03:00,Short,1,78.9100,78.6891,take_profit,0.2209,29993.86
2025-06-05T10:01:00+03:00,2025-06-05T18:17:00+03:00,Long,1,79.8500,79.3070,stop_loss,-0.5430,29993.31
2025-06-06T10:01:00+03:00,2025-06-06T13:15:00+03:00,Long,1,79.7400,79.9633,take_profit,0.2233,29993.54
2025-06-09T10:01:00+03:00,2025-06-09T10:40:00+03:00,Short,1,79.3800,79.1577,take_profit,0.2223,29993.76
2025-06-10T10:01:00+03:00,2025-06-10T13:23:00+03:00,Short,1,78.9700,78.7489,take_profit,0.2211,29993.98
2025-06-11T10:01:00+03:00,2025-06-11T11:02:00+03:00,Long,1,78.5400,78.7599,take_profit,0.2199,29994.20
